Timestamp, j0, j1, j2, j3, j4, j5, j8, j7
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0009428090000000002,0.0016458333333333323,0.0007071067500000002,0.001175595238095237,0.0004714045000000002,0.0007053571428571421,0.00023570225000000026,0.0002351190476190477
0.03,-2.90610529337097,-3.6226958760361527,1.4554028579315779,2.5923409353787474,2.7012132642071336,3.627397756383979,1.8698899248348642,1.5544647474506827
0.04,-2.9051633052404946,-3.6346195336479146,1.451290073878035,2.5977484652661915,2.702911082893827,3.6188223587878032,1.8728985029763552,1.5575873622596277
0.05,-2.904152356916125,-3.646210154079671,1.4471515574276346,2.602998620981154,2.704682348693014,3.610506453977627,1.875575138369577,1.5605259009703953
0.06,-2.9030658572277424,-3.6574730397741564,1.4429866152460566,2.6080895784709774,2.706524453926021,3.6024465533587633,1.8779401624070804,1.5632803200862522
0.07,-2.9018981144586826,-3.6684143599915706,1.4387945253875598,2.6130198624664462,2.7084349319940095,3.594638939443461,1.8800127864105924,1.5658506496719242
0.08,-2.900644288014583,-3.679040960044577,1.4345745641026941,2.6177883098418198,2.710411444479099,3.587079740835348,1.8818111040425887,1.5682369915954188
0.09,-2.8993003345742347,-3.6893601944102623,1.4303260290585278,2.622394035155454,2.7124517676658217,3.5797649959031643,1.8833521117745438,1.5704395182959714
0.1,-2.8978629513195813,-3.699379782502535,1.4260482591015016,2.6268363987360397,2.7145537790164527,3.57269070609248,1.8846517428284497,1.5724584720893884
0.11,-2.8963295182536575,-3.7091076854266793,1.4217406507672499,2.6311149775005727,2.716715444004072,3.565852879919774,1.885724910734834,1.5742941649929667
0.12,-2.8946980411101166,-3.718552001787997,1.417402671787087,2.635229538553543,2.718934803596806,3.559247568716942,1.8865855593346377,1.575946979030618
0.13,-2.892967095937648,-3.7277208805334476,1.4130338718639217,2.639180015516663,2.72120996259554,3.552870895167702,1.8872467166699576,1.5774173669637983
0.14,-2.8911357761022565,-3.736622448822783,1.408633890996959,2.642966487468547,2.7235390789541083,3.5467190756179883,1.8877205507488277,1.5787058533841964
0.15,-2.8892036421816636,-3.745264753016962,1.4042024656295178,2.646589160328061,2.7259203541534878,3.540788437063653,1.888018425629769,1.5798130360988307
